subject_id,workflow_id,task,reducer,data.value,data.aggregation_version
47662369,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 4, 'None': 1}]",3.4.4
47662369,15643,T3,dropdown_reducer,[{'3': 5}],3.4.4
47662369,15643,T4,dropdown_reducer,[{'12': 5}],3.4.4
47662369,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662370,15643,T1,dropdown_reducer,[{'f0f7524fdb08e': 7}],3.4.4
47662370,15643,T3,dropdown_reducer,[{'26': 7}],3.4.4
47662370,15643,T4,dropdown_reducer,[{'11': 7}],3.4.4
47662370,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 7}],3.4.4
47662373,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 1, 'f0f7524fdb08e': 5}]",3.4.4
47662373,15643,T3,dropdown_reducer,[{'19': 6}],3.4.4
47662373,15643,T4,dropdown_reducer,[{'11': 6}],3.4.4
47662373,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662377,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 5}],3.4.4
47662377,15643,T3,dropdown_reducer,[{'29': 5}],3.4.4
47662377,15643,T4,dropdown_reducer,[{'10': 5}],3.4.4
47662377,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662381,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 4}],3.4.4
47662381,15643,T3,dropdown_reducer,[{'22': 4}],3.4.4
47662381,15643,T4,dropdown_reducer,[{'10': 4}],3.4.4
47662381,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662385,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 8}],3.4.4
47662385,15643,T3,dropdown_reducer,[{'15': 8}],3.4.4
47662385,15643,T4,dropdown_reducer,[{'10': 8}],3.4.4
47662385,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 8}],3.4.4
47662389,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 4}],3.4.4
47662389,15643,T3,dropdown_reducer,[{'1': 4}],3.4.4
47662389,15643,T4,dropdown_reducer,[{'10': 4}],3.4.4
47662389,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662392,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 4}],3.4.4
47662392,15643,T3,dropdown_reducer,[{'24': 4}],3.4.4
47662392,15643,T4,dropdown_reducer,[{'9': 4}],3.4.4
47662392,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662395,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 4}],3.4.4
47662395,15643,T3,dropdown_reducer,[{'3': 4}],3.4.4
47662395,15643,T4,dropdown_reducer,[{'9': 4}],3.4.4
47662395,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662397,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 3, 'e4d9c81e23fe3': 1, 'None': 1, 'at-the-mfa': 1}]",3.4.4
47662397,15643,T3,dropdown_reducer,[{'20': 6}],3.4.4
47662397,15643,T4,dropdown_reducer,[{'8': 6}],3.4.4
47662397,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662400,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 4}],3.4.4
47662400,15643,T3,dropdown_reducer,[{'30': 4}],3.4.4
47662400,15643,T4,dropdown_reducer,[{'7': 4}],3.4.4
47662400,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662402,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 5}],3.4.4
47662402,15643,T3,dropdown_reducer,[{'2': 5}],3.4.4
47662402,15643,T4,dropdown_reducer,[{'7': 5}],3.4.4
47662402,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662404,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 7}],3.4.4
47662404,15643,T3,dropdown_reducer,[{'4': 7}],3.4.4
47662404,15643,T4,dropdown_reducer,[{'6': 7}],3.4.4
47662404,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 7}],3.4.4
47662406,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 4}],3.4.4
47662406,15643,T3,dropdown_reducer,[{'23': 4}],3.4.4
47662406,15643,T4,dropdown_reducer,[{'4': 4}],3.4.4
47662406,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662409,15643,T1,dropdown_reducer,[{'f0f7524fdb08e': 6}],3.4.4
47662409,15643,T3,dropdown_reducer,[{'14': 6}],3.4.4
47662409,15643,T4,dropdown_reducer,[{'5': 6}],3.4.4
47662409,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662411,15643,T1,dropdown_reducer,[{'f0f7524fdb08e': 5}],3.4.4
47662411,15643,T3,dropdown_reducer,[{'14': 5}],3.4.4
47662411,15643,T4,dropdown_reducer,[{'5': 5}],3.4.4
47662411,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662413,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 4}],3.4.4
47662413,15643,T3,dropdown_reducer,[{'16': 4}],3.4.4
47662413,15643,T4,dropdown_reducer,[{'4': 4}],3.4.4
47662413,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662414,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 5}],3.4.4
47662414,15643,T3,dropdown_reducer,[{'16': 5}],3.4.4
47662414,15643,T4,dropdown_reducer,[{'4': 5}],3.4.4
47662414,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662416,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 6}],3.4.4
47662416,15643,T3,dropdown_reducer,[{'2': 6}],3.4.4
47662416,15643,T4,dropdown_reducer,[{'4': 6}],3.4.4
47662416,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662417,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 4}],3.4.4
47662417,15643,T3,dropdown_reducer,[{'26': 4}],3.4.4
47662417,15643,T4,dropdown_reducer,[{'3': 4}],3.4.4
47662417,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662419,15643,T1,dropdown_reducer,[{'f0f7524fdb08e': 4}],3.4.4
47662419,15643,T3,dropdown_reducer,[{'19': 4}],3.4.4
47662419,15643,T4,dropdown_reducer,[{'3': 4}],3.4.4
47662419,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662421,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 4}],3.4.4
47662421,15643,T3,dropdown_reducer,[{'19': 4}],3.4.4
47662421,15643,T4,dropdown_reducer,[{'2': 4}],3.4.4
47662421,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662422,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 4}],3.4.4
47662422,15643,T3,dropdown_reducer,[{'12': 4}],3.4.4
47662422,15643,T4,dropdown_reducer,[{'2': 4}],3.4.4
47662422,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662424,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 4}],3.4.4
47662424,15643,T3,dropdown_reducer,[{'29': 4}],3.4.4
47662424,15643,T4,dropdown_reducer,[{'1': 4}],3.4.4
47662424,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662425,15643,T1,dropdown_reducer,"[{'f0f7524fdb08e': 5, 'None': 1}]",3.4.4
47662425,15643,T3,dropdown_reducer,[{'22': 6}],3.4.4
47662425,15643,T4,dropdown_reducer,[{'1': 6}],3.4.4
47662425,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662426,15643,T1,dropdown_reducer,[{'e4d9c81e23fe3': 4}],3.4.4
47662426,15643,T3,dropdown_reducer,[{'22': 4}],3.4.4
47662426,15643,T4,dropdown_reducer,[{'1': 4}],3.4.4
47662426,15643,T8,dropdown_reducer,"[{'34d4c94d85019': 3, 'b-a-d': 1}]",3.4.4
47662428,15643,T1,dropdown_reducer,"[{'e4d9c81e23fe3': 5, '5bd2fbcf507d4': 1}]",3.4.4
47662428,15643,T3,dropdown_reducer,[{'15': 6}],3.4.4
47662428,15643,T4,dropdown_reducer,[{'1': 6}],3.4.4
47662428,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662429,15643,T1,dropdown_reducer,"[{'f0f7524fdb08e': 3, 'cd638da74b4e3': 2}]",3.4.4
47662429,15643,T3,dropdown_reducer,[{'8': 5}],3.4.4
47662429,15643,T4,dropdown_reducer,[{'1': 5}],3.4.4
47662429,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662431,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 4}],3.4.4
47662431,15643,T3,dropdown_reducer,[{'19': 4}],3.4.4
47662431,15643,T4,dropdown_reducer,[{'11': 4}],3.4.4
47662431,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662432,15643,T1,dropdown_reducer,[{'4d3e231d63e6a': 6}],3.4.4
47662432,15643,T3,dropdown_reducer,[{'19': 6}],3.4.4
47662432,15643,T4,dropdown_reducer,[{'11': 6}],3.4.4
47662432,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662434,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 7}],3.4.4
47662434,15643,T3,dropdown_reducer,[{'12': 7}],3.4.4
47662434,15643,T4,dropdown_reducer,[{'11': 7}],3.4.4
47662434,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 7}],3.4.4
47662435,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 4}],3.4.4
47662435,15643,T3,dropdown_reducer,[{'12': 4}],3.4.4
47662435,15643,T4,dropdown_reducer,[{'11': 4}],3.4.4
47662435,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662437,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 4}],3.4.4
47662437,15643,T3,dropdown_reducer,[{'5': 4}],3.4.4
47662437,15643,T4,dropdown_reducer,[{'11': 4}],3.4.4
47662437,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662438,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 6}],3.4.4
47662438,15643,T3,dropdown_reducer,[{'22': 6}],3.4.4
47662438,15643,T4,dropdown_reducer,[{'10': 6}],3.4.4
47662438,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662440,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 4}],3.4.4
47662440,15643,T3,dropdown_reducer,[{'22': 4}],3.4.4
47662440,15643,T4,dropdown_reducer,[{'10': 4}],3.4.4
47662440,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662441,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 6}],3.4.4
47662441,15643,T3,dropdown_reducer,[{'15': 6}],3.4.4
47662441,15643,T4,dropdown_reducer,[{'10': 6}],3.4.4
47662441,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662443,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 6}],3.4.4
47662443,15643,T3,dropdown_reducer,[{'8': 6}],3.4.4
47662443,15643,T4,dropdown_reducer,[{'10': 6}],3.4.4
47662443,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662444,15643,T1,dropdown_reducer,[{'499cb073d8b04': 5}],3.4.4
47662444,15643,T3,dropdown_reducer,[{'8': 5}],3.4.4
47662444,15643,T4,dropdown_reducer,[{'10': 5}],3.4.4
47662444,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662446,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 5}],3.4.4
47662446,15643,T3,dropdown_reducer,[{'1': 5}],3.4.4
47662446,15643,T4,dropdown_reducer,[{'10': 5}],3.4.4
47662446,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662447,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 5}],3.4.4
47662447,15643,T3,dropdown_reducer,[{'24': 5}],3.4.4
47662447,15643,T4,dropdown_reducer,[{'9': 5}],3.4.4
47662447,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662449,15643,T1,dropdown_reducer,[{'118375e6f8e7': 4}],3.4.4
47662449,15643,T3,dropdown_reducer,[{'10': 4}],3.4.4
47662449,15643,T4,dropdown_reducer,[{'9': 4}],3.4.4
47662449,15643,T8,dropdown_reducer,[{'34d4c94d85019': 4}],3.4.4
47662450,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 4, 'None': 1}]",3.4.4
47662450,15643,T3,dropdown_reducer,[{'10': 5}],3.4.4
47662450,15643,T4,dropdown_reducer,[{'9': 5}],3.4.4
47662450,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662451,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 7}],3.4.4
47662451,15643,T3,dropdown_reducer,[{'3': 7}],3.4.4
47662451,15643,T4,dropdown_reducer,[{'9': 7}],3.4.4
47662451,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 7}],3.4.4
47662452,15643,T1,dropdown_reducer,[{'499cb073d8b04': 6}],3.4.4
47662452,15643,T3,dropdown_reducer,[{'20': 6}],3.4.4
47662452,15643,T4,dropdown_reducer,[{'8': 6}],3.4.4
47662452,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662454,15643,T1,dropdown_reducer,[{'118375e6f8e7': 5}],3.4.4
47662454,15643,T3,dropdown_reducer,[{'13': 5}],3.4.4
47662454,15643,T4,dropdown_reducer,[{'8': 5}],3.4.4
47662454,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662455,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 4, 'e4d9c81e23fe3': 1}]",3.4.4
47662455,15643,T3,dropdown_reducer,[{'6': 5}],3.4.4
47662455,15643,T4,dropdown_reducer,[{'8': 5}],3.4.4
47662455,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662456,15643,T1,dropdown_reducer,[{'118375e6f8e7': 5}],3.4.4
47662456,15643,T3,dropdown_reducer,[{'6': 5}],3.4.4
47662456,15643,T4,dropdown_reducer,[{'8': 5}],3.4.4
47662456,15643,T8,dropdown_reducer,[{'34d4c94d85019': 5}],3.4.4
47662458,15643,T1,dropdown_reducer,[{'499cb073d8b04': 7}],3.4.4
47662458,15643,T3,dropdown_reducer,[{'23': 7}],3.4.4
47662458,15643,T4,dropdown_reducer,[{'7': 7}],3.4.4
47662458,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 7}],3.4.4
47662459,15643,T1,dropdown_reducer,[{'118375e6f8e7': 7}],3.4.4
47662459,15643,T3,dropdown_reducer,[{'23': 7}],3.4.4
47662459,15643,T4,dropdown_reducer,[{'7': 7}],3.4.4
47662459,15643,T8,dropdown_reducer,[{'34d4c94d85019': 7}],3.4.4
47662461,15643,T1,dropdown_reducer,[{'499cb073d8b04': 7}],3.4.4
47662461,15643,T3,dropdown_reducer,[{'16': 7}],3.4.4
47662461,15643,T4,dropdown_reducer,[{'7': 7}],3.4.4
47662461,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 7}],3.4.4
47662463,15643,T1,dropdown_reducer,[{'499cb073d8b04': 7}],3.4.4
47662463,15643,T3,dropdown_reducer,[{'9': 7}],3.4.4
47662463,15643,T4,dropdown_reducer,[{'7': 7}],3.4.4
47662463,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 7}],3.4.4
47662464,15643,T1,dropdown_reducer,[{'499cb073d8b04': 5}],3.4.4
47662464,15643,T3,dropdown_reducer,[{'2': 5}],3.4.4
47662464,15643,T4,dropdown_reducer,[{'7': 5}],3.4.4
47662464,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662465,15643,T1,dropdown_reducer,"[{'499cb073d8b04': 3, 'cd638da74b4e3': 1}]",3.4.4
47662465,15643,T3,dropdown_reducer,[{'2': 4}],3.4.4
47662465,15643,T4,dropdown_reducer,[{'7': 4}],3.4.4
47662465,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662468,15643,T1,dropdown_reducer,[{'118375e6f8e7': 7}],3.4.4
47662468,15643,T3,dropdown_reducer,[{'18': 7}],3.4.4
47662468,15643,T4,dropdown_reducer,[{'6': 7}],3.4.4
47662468,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 7}],3.4.4
47662470,15643,T1,dropdown_reducer,[{'d9896e65faee5': 4}],3.4.4
47662470,15643,T3,dropdown_reducer,[{'18': 4}],3.4.4
47662470,15643,T4,dropdown_reducer,[{'6': 4}],3.4.4
47662470,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662471,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 3, '4d3e231d63e6a': 1}]",3.4.4
47662471,15643,T3,dropdown_reducer,[{'11': 4}],3.4.4
47662471,15643,T4,dropdown_reducer,[{'6': 4}],3.4.4
47662471,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662474,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 4}],3.4.4
47662474,15643,T3,dropdown_reducer,[{'28': 4}],3.4.4
47662474,15643,T4,dropdown_reducer,[{'5': 4}],3.4.4
47662474,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662475,15643,T1,dropdown_reducer,[{'cd638da74b4e3': 5}],3.4.4
47662475,15643,T3,dropdown_reducer,[{'21': 5}],3.4.4
47662475,15643,T4,dropdown_reducer,[{'5': 5}],3.4.4
47662475,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662477,15643,T1,dropdown_reducer,[{'499cb073d8b04': 5}],3.4.4
47662477,15643,T3,dropdown_reducer,[{'14': 5}],3.4.4
47662477,15643,T4,dropdown_reducer,[{'5': 5}],3.4.4
47662477,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662478,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 4}],3.4.4
47662478,15643,T3,dropdown_reducer,[{'14': 4}],3.4.4
47662478,15643,T4,dropdown_reducer,[{'5': 4}],3.4.4
47662478,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662480,15643,T1,dropdown_reducer,"[{'cd638da74b4e3': 4, '5bd2fbcf507d4': 1}]",3.4.4
47662480,15643,T3,dropdown_reducer,[{'7': 5}],3.4.4
47662480,15643,T4,dropdown_reducer,[{'5': 5}],3.4.4
47662480,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662481,15643,T1,dropdown_reducer,[{'499cb073d8b04': 4}],3.4.4
47662481,15643,T3,dropdown_reducer,[{'7': 4}],3.4.4
47662481,15643,T4,dropdown_reducer,[{'5': 4}],3.4.4
47662481,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662483,15643,T1,dropdown_reducer,[{'499cb073d8b04': 4}],3.4.4
47662483,15643,T3,dropdown_reducer,[{'30': 4}],3.4.4
47662483,15643,T4,dropdown_reducer,[{'4': 4}],3.4.4
47662483,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662485,15643,T1,dropdown_reducer,[{'499cb073d8b04': 4}],3.4.4
47662485,15643,T3,dropdown_reducer,[{'2': 4}],3.4.4
47662485,15643,T4,dropdown_reducer,[{'4': 4}],3.4.4
47662485,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662486,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 3, 'None': 1}]",3.4.4
47662486,15643,T3,dropdown_reducer,[{'19': 4}],3.4.4
47662486,15643,T4,dropdown_reducer,[{'3': 4}],3.4.4
47662486,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662488,15643,T1,dropdown_reducer,[{'499cb073d8b04': 5}],3.4.4
47662488,15643,T3,dropdown_reducer,[{'12': 5}],3.4.4
47662488,15643,T4,dropdown_reducer,[{'2': 5}],3.4.4
47662488,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662490,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 4, 'None': 1}]",3.4.4
47662490,15643,T3,dropdown_reducer,[{'29': 5}],3.4.4
47662490,15643,T4,dropdown_reducer,[{'1': 5}],3.4.4
47662490,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662491,15643,T1,dropdown_reducer,[{'499cb073d8b04': 4}],3.4.4
47662491,15643,T3,dropdown_reducer,[{'29': 4}],3.4.4
47662491,15643,T4,dropdown_reducer,[{'1': 4}],3.4.4
47662491,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662493,15643,T1,dropdown_reducer,[{'499cb073d8b04': 4}],3.4.4
47662493,15643,T3,dropdown_reducer,[{'22': 4}],3.4.4
47662493,15643,T4,dropdown_reducer,[{'1': 4}],3.4.4
47662493,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662495,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 4, 'impeachment': 1}]",3.4.4
47662495,15643,T3,dropdown_reducer,[{'9': 5}],3.4.4
47662495,15643,T4,dropdown_reducer,[{'7': 5}],3.4.4
47662495,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662496,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 3}],3.4.4
47662496,15643,T3,dropdown_reducer,[{'2': 3}],3.4.4
47662496,15643,T4,dropdown_reducer,[{'7': 3}],3.4.4
47662496,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 3}],3.4.4
47662498,15643,T1,dropdown_reducer,"[{'none': 1, '5bd2fbcf507d4': 3, 'None': 1}]",3.4.4
47662498,15643,T3,dropdown_reducer,[{'25': 5}],3.4.4
47662498,15643,T4,dropdown_reducer,[{'6': 5}],3.4.4
47662498,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662499,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 8}],3.4.4
47662499,15643,T3,dropdown_reducer,[{'2': 8}],3.4.4
